Selfies;Class
[C][C][=C][C][Branch1][S][C][=C][S][C][Branch1][#Branch1][N][=C][Branch1][C][N][N][=N][Ring1][=Branch2][=C][N][Ring1][=C][C];A
[C][C][C@H1][Branch1][C][C][C@H1][Branch2][Ring2][=Branch2][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch1][=C][N][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][S][C][C@@H1][Branch1][C][C][O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch2][C][C][=C][NH1][C][=N][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][C][Branch1][C][N][=O];A
[C][C][C][C][C@@H1][N][C][=Branch1][C][=O][C@@H1][Branch2][=aBranch2][O][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch2][#Branch1][#C][N][C][=Branch1][C][=O][C@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][C][=C][NH1][C][=N][Ring1][Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][C][C][C][C][C@@H1][Branch2][S][Ring1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch2][C][C][=C][NH1][C][=N][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][C][C][C][N][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][C][Branch1][C][N][=O][C@@H1][Branch1][C][C][C][C][C@@H1][Branch1][C][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][Ring2][P][=Branch1][=O];B
[C][C][Branch1][C][C][C][C@@H1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][N][C][=Branch1][C][=O][C@H1][Branch2][Branch1][Ring2][C][=C][C][=C][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C][=C][Ring2][Ring1][=N][N][C][=Branch1][C][=O][C@@H1][Branch1][Branch1][C][C][C][N][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][N][C][=Branch1][C][=O][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch1][Branch1][C][C][C][N][N][C][=Branch1][C][=O][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring2][Ring2][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C@@H1][Branch1][=Branch1][C][Branch1][C][N][=O][O][C][=Branch1][C][=O][C@H1][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][Cl][=C][Ring1][Branch2][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][N][C][Ring2][=N][Ring2][=O];B
[Br][C][=C][C][=C][C][Branch1][S][N][C][=N][C][=N][C][=C][C][=N][C][=C][Ring1][#Branch2][Ring1][=Branch1][=C][Ring1][P][N][C][C][N][C][C][O][C][C][Ring1][=Branch1];C
[C][O][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][Branch1][P][C][=Branch1][C][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][Ring2][Ring1][C][O];C
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C][=C][Ring1][=Branch2][NH1][Ring1][N];D
[C][C][=Branch1][C][=O][O][C@H1][/C][Branch1][C][C][=C][\C@@H1][O][C][=Branch1][C][=O][C@][Branch1][C][C][O][C@][Ring1][Branch2][Ring1][Ring2][C@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C@H1][C@][Branch1][C][C][Branch1][C][O][C@H1][Branch1][C][O][C][=C][C@][Ring1][=Branch2][Branch1][C][C][C@@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C@@H1][Ring2][Ring1][P][O][C][Branch1][C][C][=O];D
[C][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][N][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][/C][=C][/C][=Branch1][C][=O][N][Branch1][=Branch2][C][C][=C][C][=C][O][Ring1][Branch1][C][C][=C][C][=C][O][Ring1][Branch1];A
[C][O][C@H1][C][C@H1][Branch2][#Branch1][=Branch2][C][O][C][C@H1][C@@H1][Branch1][Ring1][O][C][C][C@H1][Branch2][=Branch1][Branch1][O][C@H1][C][C][C@@][Branch1][C][C][C][=Branch2][Branch1][Branch1][=C][C][C@][Branch1][C][O][C@@H1][Ring1][Branch2][C][C@@H1][Branch1][S][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][C@][Branch1][C][C][C@][Branch1][C][O][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][C@][Ring2][Ring1][#Branch2][Ring1][#Branch2][O][C][Ring2][Ring2][Ring2][O][C@@H1][Ring2][Ring2][=N][C][O][C@@H1][Branch1][C][C][C@H1][Ring2][Branch1][Branch2][C][O][C][C@H1][C][C@H1][Branch1][Ring1][O][C][C@H1][Branch2][Ring2][O][C][O][C][C@H1][C][C@@H1][Branch1][Ring1][O][C][C@@H1][Branch2][Ring1][Branch1][O][C@H1][O][C@@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][Branch1][C][C][O][Ring2][Ring1][Branch1][C@@H1][Branch1][C][C][O][Ring2][Ring1][P];A
[C][O][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][C][C][Branch2][Ring2][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][N][Branch1][C][C][C][Ring1][=N][=O][O][Ring2][Ring1][Ring1][N][Branch1][C][C][C][=C][Ring2][Ring1][=C][C][=C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][O][C][O][Ring1][#Branch1];B
[C][C][Branch1][C][C][C][C@H1][Branch2][Branch1][=N][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][C][=C][N][=C][NH1][Ring1][Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][S][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][S][C][=Branch1][C][=O][O];B
[C][C][Branch1][C][C][=C][C@H1][C][C@][Branch1][C][C][Branch1][C][O][C@@H1][C@H1][C][C][C@@H1][C@@][Branch1][C][C][C][C][C@H1][Branch2][Branch1][#C][O][C@@H1][O][C][C@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Ring2][Ring1][Ring1][O][C@@H1][O][C@@H1][Branch1][=N][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C@H1][Branch1][C][O][C@H1][Ring1][=C][O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring2][Ring2][=N][C][C][C@@][Ring2][Ring2][P][Branch1][C][C][C@@][Ring2][Branch1][=Branch1][C][O][C@@][Ring2][Branch1][#Branch2][Branch1][Ring2][C][Ring1][Branch1][O][Ring2][Branch1][P];C
[C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][Ring1][=N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=C][N+1][=Branch1][Ring2][=C][Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N+1][C][=C][N][Branch1][Ring2][C][=Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Ring2][Branch1][O][=O].[Br-1].[Br-1];C
[C][O][C][=C][C][=C][C][Branch2][=Branch1][=Branch1][C][N][C][Branch1][O][C][C][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][S][C][=N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Ring1][O][N][Ring1][P][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring2][Ring1][=C][Ring2][Ring2][O];D
[C][C][C][C][C][C@H1][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C@@H1][C@@H1][Branch2][Ring1][=C][O][C@@H1][O][C@H1][Branch1][C][C][C@@H1][Branch1][N][O][C][=Branch1][C][=O][C][Branch1][C][C][C][C][C@H1][Branch1][C][O][C@H1][Ring1][#C][O][C@H1][Branch1][C][C][O][C@@H1][Branch2][Ring2][#Branch2][O][C@H1][C@@H1][Branch1][#C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][O][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][O][C@H1][Ring1][=Branch2][O][Ring2][Branch1][#Branch2][C@@H1][Ring2][Ring2][=C][O][C][=Branch1][C][=O][C][Branch1][C][C][C][C];D
[C][C@H1][C][N][Branch2][Ring1][#Branch2][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C@@][Ring2][Ring1][#Branch1][Branch1][C][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1];A
[O][=C][Branch1][Ring1][N][O][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][#Branch1];A
